摊	tān	645	vendor's stand
投	tóu	646	throw (v.)
没	méi	647	not have
设	shè	648	establish (v.)
股	gǔ	649	thigh
支	zhī	650	offshoot
技	jì	651	skill
枝	zhī	652	branch
叔	shū	653	uncle
督	dū	654	superintend
寂	jì	655	lonely
反	fǎn	656	against
板	bǎn	657	plank
返	fǎn	658	go back
后	hòu	659	behind
质	zhì	660	quality
派	pài	661	faction
乐	yuè	662	music
爪	zhǎo	663	claw (n.)
抓	zhuā	664	grab
采	cǎi	665	pick (v.)
菜	cài	666	vegetable
受	shòu	667	accept
授	shòu	668	confer
爱	ài	669	love (n. / v.)
么	me	670	(suffix)
雄	xióng	671	grand
台	tái	672	platform
治	zhì	673	govern
始	shǐ	674	commence
去	qù	675	go
法	fǎ	676	method
会	huì	677	meeting
至	zhì	678	until
室	shì	679	room
到	dào	680	arrive
互	hù	681	mutual
充	chōng	682	sufficient
育	yù	683	education
流	liú	684	flow (v.)
梳	shū	685	comb (n.)
购	gòu	686	purchase (v.)
构	gòu	687	frame (v.)
山	shān	688	mountain
出	chū	689	exit (v.)
础	chǔ	690	foundation
岁	suì	691	years of age
密	mì	692	secret (adj.)
入	rù	693	enter
分	fēn	694	part (n. / v.)
贫	pín	695	impoverished
公	gōng	696	public (adj.)
松	sōng	697	pine tree
谷	gǔ	698	valley
浴	yù	699	bathe
欲	yù	700	desire (n. / v.)
容	róng	701	contain
溶	róng	702	dissolve
赏	shǎng	703	prize (n.)
党	dǎng	704	political party
常	cháng	705	often
堂	táng	706	main room
皮	pí	707	covering (n.)
波	bō	708	waves
婆	pó	709	old woman
破	pò	710	break (v.)
被	bèi	711	quilt (n.)
歹	dǎi	712	malicious
列	liè	713	line up
烈	liè	714	intense
死	sǐ	715	death
葬	zàng	716	inter (v.)
耳	ěr	717	ear
取	qǔ	718	take
趣	qù	719	interest
最	zuì	720	most
职	zhí	721	job
敢	gǎn	722	brave (adj.)
曼	màn	723	drawn out
慢	màn	724	slow (adj.)
漫	màn	725	overflow (v.)
夫	fū	726	husband
规	guī	727	regulations
替	tì	728	replace
失	shī	729	lose
铁	tiě	730	iron (n.)
臣	chén	731	feudal official
力	lì	732	power
边	biān	733	border
势	shì	734	force (n.)
动	dòng	735	move (v.)
励	lì	736	encourage
历	lì	737	experience (n. / v.)
另	lìng	738	another
别	bié	739	don't
拐	guǎi	740	turn (v.)
男	nán	741	male (n.)
功	gōng	742	achievement
办	bàn	743	manage
协	xié	744	cooperate
苏	sū	745	revive
为	wèi	746	act (v.)
奴	nú	747	slave (n.)
努	nǔ	748	toil (v.)
加	jiā	749	add
贺	hè	750	congratulate
架	jià	751	shelf (n.)
务	wù	752	tasks
雾	wù	753	fog
行	háng	754	line of business
律	lǜ	755	law
得	děi	756	must (aux. v.)
待	dài	757	treat (v.)
往	wǎng	758	toward
德	dé	759	morality
微	wēi	760	tiny
街	jiē	761	street
禾	hé	762	standing grain
程	chéng	763	journey (n.)
和	hé	764	harmony
积	jī	765	accumulate
种	zhǒng	766	species
移	yí	767	shift (v.)
秋	qiū	768	autumn
愁	chóu	769	gloomy
揪	jiū	770	hold tight
利	lì	771	profit (n.)
香	xiāng	772	perfume (n.)
季	jì	773	seasons
委	wěi	774	committee
秀	xiù	775	elegant
透	tòu	776	penetrate
诱	yòu	777	entice
米	mǐ	778	rice
粉	fěn	779	powder (n.)
迷	mí	780	lost
谜	mí	781	riddle
类	lèi	782	kind (n.)
来	lái	783	come
数	shù	784	number (n.)
楼	lóu	785	multistory building
竹	zhú	786	bamboo
笑	xiào	787	laugh (v.)
箱	xiāng	788	box (n.)
等	děng	789	etc.
算	suàn	790	calculate
答	dá	791	answer (v.)
策	cè	792	strategy
人	rén	793	person
认	rèn	794	recognize
价	jià	795	price
份	fèn	796	portion
伪	wěi	797	bogus
尔	ěr	798	you (literary)
你	nǐ	799	you
您	nín	800	you (respectful)
称	chēng	801	weigh
什	shén	802	what?
值	zhí	803	value (n.)
做	zuò	804	make
但	dàn	805	however
住	zhù	806	dwell
位	wèi	807	position (n.)
件	jiàn	808	piece
仍	réng	809	still (adv.)
他	tā	810	he
仅	jǐn	811	merely
休	xiū	812	rest (v.)
体	tǐ	813	body
信	xìn	814	faith
依	yī	815	depend on
例	lì	816	example
健	jiàn	817	healthy
停	tíng	818	halt (v.)
倒	dǎo	819	upside down
仁	rén	820	benevolence
优	yōu	821	excellent
伤	shāng	822	wound (n.)
保	bǎo	823	safeguard (v.)
堡	bǎo	824	fort
付	fù	825	pay (v.)
府	fǔ	826	government office
俯	fǔ	827	bow one's head
代	dài	828	substitute for
袋	dài	829	bag (n.)
化	huà	830	transform
华	huá	831	splendor
哗	huá	832	clamor (n.)
花	huā	833	flower (n.)
货	huò	834	commodities
